age_class,GESCHL,areaID,GEBSTAAT_OE,GEBSTAAT_EU,age,STAATB_OE,EDU_HAB_NAT,Beruf_cat1,Beruf_cat2,Beruf_cat3,Beruf_cat0,Nachtig_pEinw,Betriebe_pEinw,Betten_pEinw,einkommen,einkommen_q1_anteil,einkommen_q5_anteil,ASBESCH_pEinw1,ASBESCH_pEinw2,ASBESCH_pEinw3,ASUMS_pEinw1,ASUMS_pEinw2,ASUMS_pEinw3,Ankunft_pEinw_q1,Ankunft_pEinw_q2,Ankunft_pEinw_q3,Ankunft_pEinw_q4,G3_enc,weight,ID,strata
1,1,002,1,0,22,1,2,0,0,0,0,40,0.2,0.02,74464,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,58,11
1,1,002,0,1,23,1,1,0,0,0,0,40,0.2,0.02,27270,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,59,11
1,1,002,1,1,19,1,2,0,0,0,0,40,0.2,0.02,49195,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,60,11
1,1,002,1,1,19,1,2,0,0,0,0,40,0.2,0.02,56259,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,61,11
1,1,002,0,1,23,0,3,0,0,0,0,40,0.2,0.02,28598,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,62,11
1,1,002,1,0,17,1,3,0,0,0,0,40,0.2,0.02,63483,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,63,11
1,1,002,0,1,22,0,2,0,0,0,0,40,0.2,0.02,-253,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,64,11
1,1,002,0,1,24,1,3,0,0,0,0,40,0.2,0.02,52451,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,65,11
1,1,002,0,1,20,1,2,0,0,0,0,40,0.2,0.02,45541,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,66,11
1,1,002,1,1,15,1,3,0,0,0,0,40,0.2,0.02,32297,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,67,11
1,1,002,0,1,19,1,3,0,0,0,0,40,0.2,0.02,-923,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,68,11
1,1,002,0,1,17,1,1,0,0,0,0,40,0.2,0.02,21200,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,69,11
1,1,002,1,1,20,1,2,0,0,0,0,40,0.2,0.02,9170,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,70,11
1,1,002,0,1,22,1,3,0,0,1,1,40,0.2,0.02,36950,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,71,11
1,1,002,1,1,23,1,1,0,0,0,0,40,0.2,0.02,23135,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,72,11
1,1,002,1,1,24,1,3,0,0,0,0,40,0.2,0.02,10545,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,73,11
1,1,002,1,0,19,0,3,0,0,0,0,40,0.2,0.02,16941,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,74,11
1,1,002,1,1,16,1,2,0,0,1,0,40,0.2,0.02,42172,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,75,11
1,1,002,1,1,21,1,1,0,0,0,0,40,0.2,0.02,9243,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,76,11
1,1,002,1,1,21,1,1,0,0,0,0,40,0.2,0.02,31735,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,77,11
1,1,002,1,1,16,1,1,0,0,0,0,40,0.2,0.02,69061,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,78,11
1,1,002,1,1,18,1,3,0,0,0,0,40,0.2,0.02,29281,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,79,11
1,1,002,1,0,24,1,1,0,0,0,0,40,0.2,0.02,65461,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,80,11
1,1,002,1,1,15,1,2,0,0,0,0,40,0.2,0.02,40175,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,81,11
1,1,002,1,0,24,1,2,0,0,0,1,40,0.2,0.02,-2670,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,82,11
1,1,002,1,1,17,1,3,0,0,0,0,40,0.2,0.02,16431,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,83,11
1,1,002,1,1,18,1,3,0,0,0,0,40,0.2,0.02,55129,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,84,11
1,1,002,0,1,21,1,3,0,0,0,0,40,0.2,0.02,59688,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,85,11
1,1,002,1,1,24,1,1,0,0,0,0,40,0.2,0.02,39650,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,86,11
1,1,002,1,1,21,0,3,0,0,0,0,40,0.2,0.02,38613,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,87,11
1,1,002,1,1,22,0,1,0,0,0,0,40,0.2,0.02,68990,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,88,11
1,1,002,1,0,18,1,3,0,0,0,0,40,0.2,0.02,84117,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,89,11
1,1,002,1,0,21,1,3,0,0,0,0,40,0.2,0.02,7388,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,90,11
1,1,002,1,1,21,1,1,0,0,0,0,40,0.2,0.02,2352,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,91,11
1,1,002,0,1,18,1,2,0,0,0,0,40,0.2,0.02,-15702,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,92,11
1,1,002,1,1,21,1,2,0,0,0,0,40,0.2,0.02,9711,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,93,11
1,1,002,1,1,24,1,2,0,0,0,0,40,0.2,0.02,82128,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,94,11
1,1,002,1,1,15,0,2,0,0,0,0,40,0.2,0.02,-734,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,95,11
1,1,002,1,1,17,1,2,0,0,0,1,40,0.2,0.02,21603,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,96,11
1,1,002,1,1,22,1,3,0,0,0,0,40,0.2,0.02,40810,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,97,11
1,1,002,0,1,20,1,3,0,0,1,0,40,0.2,0.02,17087,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,98,11
1,1,002,1,0,24,0,3,0,0,0,0,40,0.2,0.02,64601,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,99,11
1,1,002,1,1,22,0,1,1,0,0,0,40,0.2,0.02,7595,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,100,11
1,1,002,1,1,19,0,2,0,0,0,0,40,0.2,0.02,42286,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,101,11
1,1,002,0,1,18,0,3,0,0,0,0,40,0.2,0.02,-14248,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,102,11
1,1,002,1,1,20,1,2,0,0,0,0,40,0.2,0.02,12678,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,103,11
1,1,002,1,1,23,1,1,0,0,0,0,40,0.2,0.02,18909,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,104,11
1,1,002,1,1,16,1,1,0,1,0,0,40,0.2,0.02,71614,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,105,11
1,1,002,0,1,18,0,3,0,0,0,0,40,0.2,0.02,-2368,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,106,11
1,1,002,1,1,22,1,1,0,0,0,0,40,0.2,0.02,19117,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,107,11
1,1,002,1,1,17,1,2,0,0,0,0,40,0.2,0.02,68775,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,108,11
1,1,002,1,1,20,1,3,0,0,0,0,40,0.2,0.02,41396,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,109,11
1,1,002,1,1,21,0,1,0,0,0,0,40,0.2,0.02,58193,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,110,11
1,1,002,1,1,21,1,3,0,0,0,0,40,0.2,0.02,6894,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,111,11
1,1,002,0,0,22,1,3,0,0,0,0,40,0.2,0.02,60369,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,112,11
1,1,002,1,1,23,0,1,0,0,0,0,40,0.2,0.02,-20478,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,113,11
1,1,002,1,1,15,1,1,0,0,0,0,40,0.2,0.02,28537,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,114,11
1,1,002,0,1,23,1,2,0,0,0,0,40,0.2,0.02,-26776,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,115,11
1,1,002,1,1,24,1,2,0,0,0,0,40,0.2,0.02,19836,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,116,11
1,1,002,1,1,17,1,1,0,0,0,0,40,0.2,0.02,44373,0.2,0.17,0.03,0.03,0.02,0.2,1.5,0.6,0.6,0.8,1.8,0.3,,,117,11
1,1,003,1,1,19,1,2,0,0,0,0,25,0.01,0.15,42898,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,118,11
1,1,003,1,0,17,1,1,0,0,0,0,25,0.01,0.15,2690,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,119,11
1,1,003,0,1,17,0,3,0,0,0,0,25,0.01,0.15,6545,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,120,11
1,1,003,1,1,21,1,3,0,0,0,0,25,0.01,0.15,22834,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,121,11
1,1,003,1,1,24,1,2,0,0,0,0,25,0.01,0.15,84365,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,122,11
1,1,003,0,0,21,1,2,0,0,0,0,25,0.01,0.15,38261,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,123,11
1,1,003,0,1,17,1,1,0,0,0,0,25,0.01,0.15,30369,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,124,11
1,1,003,0,1,18,1,1,0,0,0,0,25,0.01,0.15,18648,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,125,11
1,1,003,1,1,20,1,1,0,0,0,0,25,0.01,0.15,12414,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,126,11
1,1,003,1,1,18,1,3,0,0,0,0,25,0.01,0.15,36771,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,127,11
1,1,003,1,1,15,0,0,0,0,0,0,25,0.01,0.15,50698,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,128,11
1,1,003,1,1,22,1,3,0,0,0,0,25,0.01,0.15,9626,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,129,11
1,1,003,1,1,24,1,2,0,0,0,1,25,0.01,0.15,8938,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,130,11
1,1,003,1,1,24,0,3,0,0,0,0,25,0.01,0.15,33445,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,131,11
1,1,003,1,1,23,1,1,0,0,0,0,25,0.01,0.15,42164,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,132,11
1,1,003,1,1,15,1,1,0,0,0,0,25,0.01,0.15,54039,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,133,11
1,1,003,1,1,22,1,3,0,0,0,1,25,0.01,0.15,44947,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,134,11
1,1,003,1,1,23,1,1,0,0,0,0,25,0.01,0.15,56233,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,135,11
1,1,003,1,1,22,1,1,0,0,0,0,25,0.01,0.15,2604,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,136,11
1,1,003,1,1,24,0,1,0,0,0,0,25,0.01,0.15,44271,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,137,11
1,1,003,0,1,23,1,1,0,0,0,0,25,0.01,0.15,55906,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,138,11
1,1,003,1,1,19,1,2,0,0,0,0,25,0.01,0.15,29998,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,139,11
1,1,003,1,1,18,0,2,0,0,0,0,25,0.01,0.15,46659,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,140,11
1,1,003,0,1,18,0,1,0,0,0,0,25,0.01,0.15,56536,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,141,11
1,1,003,1,1,24,1,2,0,0,0,0,25,0.01,0.15,23221,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,142,11
1,1,003,1,1,16,1,2,0,0,0,0,25,0.01,0.15,25082,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,143,11
1,1,003,1,1,17,0,1,0,0,1,0,25,0.01,0.15,27060,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,144,11
1,1,003,1,1,15,1,1,0,0,0,0,25,0.01,0.15,-6381,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,145,11
1,1,003,1,1,15,1,1,0,0,0,0,25,0.01,0.15,25101,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,146,11
1,1,003,1,1,22,1,3,0,0,0,0,25,0.01,0.15,79554,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,147,11
1,1,003,1,1,17,1,1,0,0,0,0,25,0.01,0.15,-3318,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,148,11
1,1,003,1,1,15,1,3,0,0,0,0,25,0.01,0.15,97067,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,149,11
1,1,003,1,0,15,1,1,0,0,0,0,25,0.01,0.15,21310,0.09,0.1,0.01,0.03,0.01,0.9,2,0.7,2,5,7,3,,,150,11
